"","Metric","Average","StdDev","Min","Max"
"1","# of FS found",110,NA,110,110
"2","Abs Pitch Min (deg)",-110.900547696901,2.20657616318001,-115.816183196361,-105.209161733268
"3","Abs Pitch Max (deg)",15.9867473674563,0.993041846541694,13.8135362237533,18.3358332526352
"4","Abs Pitch @ FS (deg)",7.66959579453212,3.35297013204426,2.04371451156134,14.3388198206127
"5","Abs Pitch @ TO (deg)",-48.9805896136085,5.70560141751743,-55.9508143427553,-29.1389805701428
"6","Abs Roll @ FS (deg)",35.2165047780336,1.45245852506962,31.6977125189098,37.732732291308
"7","Abs Roll @ TO (deg)",38.0550589220827,1.57332429716736,33.7542103783953,41.8037985228548
"8","Pronation Exursion (deg)",-5.49381351767971,1.44202307488977,-8.41260569317822,-1.71960590104811
"9","Time to Max Pron (ms)",68.4636363636364,19.3593147922222,45,115
"10","Max Pron Vel (deg/s)",579.753528941761,218.500968770344,238.83056640625,844.29931640625
"11","Pitch @ Max Pronation (deg)",-9.95659496927148,1.11753106510089,-13.2681568032829,-7.85389633666516
"12","Contact Time (ms)",221.772727272727,12.9428235160315,175,240
"13","Cycle Time (ms)",687.145454545455,9.32967679276983,655,710
"14","Stride Rate (str/min)",87.3337575784988,1.18953280611243,84.5070422535211,91.6030534351145
"15","Peak G's - X",12.5315030184659,2.71749468865969,4.2041015625,16
"16","Peak G's - Y",12.0002530184659,2.54176462904131,5.82861328125,15.76025390625
"17","Peak G's - Z",9.03134321732955,2.42757978945365,5.3671875,15.28662109375
