"","Metric","Average","StdDev","Min","Max"
"1","# of FS found",109,NA,109,109
"2","Abs Pitch Min (deg)",-111.251938693192,4.78871432975349,-116.24399109368,-66.3410487855419
"3","Abs Pitch Max (deg)",17.9869765617742,1.05565497462956,15.907998569277,21.4735009773823
"4","Abs Pitch @ FS (deg)",10.9184277998195,3.50875579746851,3.11741216387738,17.4040521814198
"5","Abs Pitch @ TO (deg)",-48.9424825960909,2.56222642006812,-55.8928077095194,-41.1806827149716
"6","Abs Roll @ FS (deg)",36.0927892954887,1.42310560922985,32.614881205734,39.2291322514392
"7","Abs Roll @ TO (deg)",39.5638383135681,1.07196457969472,37.2472135728955,42.926528574557
"8","Pronation Exursion (deg)",-4.49138168858169,1.41868796863904,-7.71920366742933,-1.01860646758789
"9","Time to Max Pron (ms)",64.8240740740741,15.1088441659792,45,95
"10","Max Pron Vel (deg/s)",498.40404369213,216.383490492091,189.51416015625,833.80126953125
"11","Pitch @ Max Pronation (deg)",-8.27060856505879,0.934175950402287,-10.8989597900849,-6.09133918727739
"12","Contact Time (ms)",223.342592592593,7.68073453097239,205,245
"13","Cycle Time (ms)",684.880733944954,10.2521224276318,654,704
"14","Stride Rate (str/min)",87.6260512398695,1.3188858556366,85.2272727272727,91.743119266055
"15","Peak G's - X",12.2386441012041,2.51755654645851,5.59326171875,15.9560546875
"16","Peak G's - Y",12.1069380733945,3.00946917283674,5.251953125,16
"17","Peak G's - Z",10.1509192230505,3.01523135415789,5.2001953125,15.99609375
